Output CSV Table;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Process Stage;Material Type;Energy (kWh/ton);CO₂ Emissions (kg/ton);Notes;;;;;;;;;;;;
Precursor Production;Silica;3000;800;Sodium silicate (waterglass) route ~5.4 GJ/ton (≈1500 kWh/ton solution) or ~11 GJ/ton per silica solid ;oai_citation:0‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=usage,TEOS%20with%20sodium%20silicate%20can). TEOS-based routes are much higher (~13,000 kWh/ton Si) ;oai_citation:1‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=carries%20an%20even%20larger%20energy,TEOS%20with%20sodium%20silicate%20can). Upstream soda ash use releases ~0.15 kg CO₂ per kg silica (chemical CO₂ from Na₂CO₃) ;oai_citation:2‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=per%20kg%20of%20silica%20,from%20the%20calcination%20of).;;;;;;;;;
Sol-Gel Synthesis (Mixing/Aging);Silica;50;10;"Low-energy step at <100 °C; only on the order of tens of kWh per ton ";oai_citation:3‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=Mixing%2FGelation%20). Minimal CO₂ impact (minor heat/stirring only).;;;;;;;;;;;
Drying;Silica;5500;1200;Typically the largest energy demand: evaporating water requires ~15–24 MJ/kg ;oai_citation:4‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=Drying%20and%20Thermal%20Treatment%3A%20Drying,a%20silica%20sol%20from%2010) (~4200–6700 kWh/ton of silica) using hot air (~300 °C) ;oai_citation:5‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=silica%20gel%20or%20precipitated%20silica,a%20silica%20sol%20from%2010). Fueled by natural gas, making drying a major CO₂ source ;oai_citation:6‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=order%20of%20a%20few%20tonnes,31%C2%A0tCO%E2%82%82%2Fton%29%20for).;;;;;;;;;
Calcination;Silica;3500;700;High-temperature calcination (450–600 °C) to burn out organics, if used ;oai_citation:7‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=worst,or%20activation%20at%20100%E2%80%93200%E2%80%AF%C2%B0C%20to). Energy on the same order as drying (often ~50% of total when surfactants/templates are used) ;oai_citation:8‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=is%20required%20to%20burn%20out,no%20organic%20template%20is%20used). If no organic template, only a mild 100–200 °C post-dry heating is needed ;oai_citation:9‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=energy%20as%20drying,or%20activation%20at%20100%E2%80%93200%E2%80%AF%C2%B0C%20to) (negligible CO₂ in that case).;;;;;;;;;
Precursor Production;Zeolite;2500;1200;Upstream raw materials synthesis is energy-intensive. e.g. producing Na₂SiO₃ ~5.4 GJ/ton ;oai_citation:10‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=Sodium%20silicate%20route%3A%20,of%20kWh%20per%20ton%20SiO%E2%82%82) and NaOH ~20.5 GJ/ton (≈5700 kWh/ton) ;oai_citation:11‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=of%20kWh%20per%20ton%20SiO%E2%82%82). NaOH (caustic soda) production dominates energy/CO₂ footprint ;oai_citation:12‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=precursors%20is%20significant,study%20of%20zeolite%20A%20highlighted). Organic structure-directing agents add further embodied energy (if used).;;;;;;;;;
Hydrothermal Synthesis;Zeolite;300;60;Crystallization of gel in autoclave (90–200 °C for hours/days) requires substantial heat input ;oai_citation:13‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=temperatures%20range%20from%20about%2090%E2%80%AF%C2%B0C,along%20with%20drying%20and). Roughly 0.5–1.5 GJ/ton per day (~150–400 kWh) is needed for heating ;oai_citation:14‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=Hydrothermal%20heating%20120%E2%80%93200%E2%80%AF%C2%B0C%20for%20hours,). Extended batches can emit >1 kg CO₂ per kg product from this step alone ;oai_citation:15‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=crystallization%20stage%20is%20a%20major,temperature%2C%20or%20using%20continuous%20and).;;;;;;;;;
Drying;Zeolite;5000;1000;Major energy stage: removing water from filtrated crystals costs ~15–24 MJ/kg ;oai_citation:16‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=silica%20gel%20drying,Notably%2C%20if%20the%20synthesis) (~4000–6000 kWh/ton) – comparable to silica gel drying ;oai_citation:17‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=4%2C200%E2%80%936%2C700%C2%A0kWh%2Fton%20,usually%20the%20largest%20energy%20stage). Typically done via 300–500 °C air dryers ;oai_citation:18‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=silica%20gel%20drying,but%20drying%20remains%20one%20of), consuming thousands of kWh and causing large CO₂ emissions (mitigated slightly by heat recovery).;;;;;;;;;
Calcination;Zeolite;2000;500;High-temp calcination (500–650 °C for 0.5–6 h) burns off organic templates and activates the zeolite ;oai_citation:19‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=Calcination%20,but%20not%20enough%20to%20self). This stage consumes on the order of a few GJ/ton (~1000–3000+ kWh) ;oai_citation:20‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=If%20OSDA%2Ftemplate%20present%3A%20high,made%20without%20organics%2C%20requires%20no). Significant CO₂ results from fuel use and combustion of organics (off-gas treatment needed) ;oai_citation:21‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=produced%20by%20high,). (Zeolites made without OSDAs skip this step ;oai_citation:22‡file-1657qc7brcbljfukf7n6ru](file://file-1657QC7BRCBLJFuKF7N6ru#:~:text=If%20OSDA%2Ftemplate%20present%3A%20high,organics%2C%20requires%20no%20such%20calcination).);;;;;;;;
Raw Material Prep & Chemicals;Glass (Soda-Lime);600;200;Mining, crushing, and batch preparation is a small energy share (~4% of plant total) ;oai_citation:23‡file-xgxbpzhpjdfpgcaqz3tqrr](file://file-XGxBPzHpJDFpgCaQZ3TQrr#:~:text=accounts%20for%20a%20relatively%20small,8%20MWh%2Fton%29%2C%20meaning%20the), on the order of 10^2 kWh/ton (e.g. ~155 kWh/ton) ;oai_citation:24‡file-xgxbpzhpjdfpgcaqz3tqrr](file://file-XGxBPzHpJDFpgCaQZ3TQrr#:~:text=that%20batch%20preparation%20is%20only,2%C2%A0GJ). Upstream soda ash production embeds ~2 GJ per ton glass (~550 kWh) ;oai_citation:25‡file-xgxbpzhpjdfpgcaqz3tqrr](file://file-XGxBPzHpJDFpgCaQZ3TQrr#:~:text=additional%20energy%20,total%20energy%20in%20glass%20production). Limestone/soda use also releases CO₂ in making soda ash (upstream) and later in the furnace ;oai_citation:26‡file-xgxbpzhpjdfpgcaqz3tqrr](file://file-XGxBPzHpJDFpgCaQZ3TQrr#:~:text=1Assumes%20,74%C2%A0kg%2FGJ).;;;;;;;;
Melting & Refining (Furnace);Glass (Soda-Lime);1200;600;Melting at ~1500 °C dominates energy (~70–80% of total) ;oai_citation:27‡file-xgxbpzhpjdfpgcaqz3tqrr](file://file-XGxBPzHpJDFpgCaQZ3TQrr#:~:text=Melting%20and%20refining%3A%20The%20glass,into%20heating%20and%20chemically%20reacting). Typically ~3.5–5 GJ/ton (1000–1400 kWh) is needed in the furnace ;oai_citation:28‡file-xgxbpzhpjdfpgcaqz3tqrr](file://file-XGxBPzHpJDFpgCaQZ3TQrr#:~:text=Melting%20and%20refining%3A%20The%20glass,into%20heating%20and%20chemically%20reacting) (≈1.1 MWh/ton in modern practice). Fueled mostly by natural gas ;oai_citation:29‡file-xgxbpzhpjdfpgcaqz3tqrr](file://file-XGxBPzHpJDFpgCaQZ3TQrr#:~:text=fuel%20combustion%20provides%20the%20high,fired%20furnaces), which emits ~300–500 kg CO₂/ton glass ;oai_citation:30‡file-xgxbpzhpjdfpgcaqz3tqrr](file://file-XGxBPzHpJDFpgCaQZ3TQrr#:~:text=Fuel%20combustion%20%28on). Raw carbonates (soda, limestone) decompose and add ~150–250 kg CO₂/ton ;oai_citation:31‡file-xgxbpzhpjdfpgcaqz3tqrr](file://file-XGxBPzHpJDFpgCaQZ3TQrr#:~:text=Raw%20material%20decomposition).;;;;;;;
Forming & Annealing;Glass (Soda-Lime);120;50;Product forming (shaping) and annealing (controlled cooling) consume the remaining ~15–25% of energy ;oai_citation:32‡file-xgxbpzhpjdfpgcaqz3tqrr](file://file-XGxBPzHpJDFpgCaQZ3TQrr#:~:text=Forming%2C%20annealing%2C%20and%20post,ovens%20that%20slowly), roughly 0.3–0.6 GJ/ton (80–160 kWh) ;oai_citation:33‡file-xgxbpzhpjdfpgcaqz3tqrr](file://file-XGxBPzHpJDFpgCaQZ3TQrr#:~:text=Forming%20%26%20annealing%20). This includes machine drives, compressors, and lehr heating. CO₂ emissions are relatively small (tens of kg/ton, mostly from electricity or minor fuel use) ;oai_citation:34‡file-xgxbpzhpjdfpgcaqz3tqrr](file://file-XGxBPzHpJDFpgCaQZ3TQrr#:~:text=Electricity%20use%20).;;;;;;;;;